ID;ml
D2-126;OpenAI
D2-127;Human
D2-128;OpenAI
D2-129;Human
D2-130;OpenAI
D2-131;Human
D2-132;Human
D2-133;Human
D2-134;Human
D2-135;Human
D2-136;Human
D2-137;Human
D2-138;Human
D2-139;Human
D2-140;Human
D2-141;Human
D2-142;OpenAI
D2-143;Human
D2-144;Human
D2-145;Human
D2-146;Human
D2-147;Human
D2-148;Human
D2-149;Human
D2-150;Human
D3-76;Human
D3-77;Human
D3-78;Google
D3-79;OpenAI
D3-80;OpenAI
D3-81;Human
D3-82;Meta
D3-83;OpenAI
D3-84;Meta
D3-85;Human
D3-86;Human
D3-87;Meta
D3-88;Human
D3-89;Meta
D3-90;Meta
D3-91;OpenAI
D3-92;Human
D3-93;Human
D3-94;Human
D3-95;Human
D3-96;Human
D3-97;Human
D3-98;Human
D3-99;Human
D3-100;Human
D4-1;OpenAI
D4-2;Human
D4-3;OpenAI
D4-4;OpenAI
D4-5;OpenAI
D4-6;Human
D4-7;OpenAI
D4-8;OpenAI
D4-9;Google
D4-10;Google
D4-11;OpenAI
D4-12;Human
D4-13;OpenAI
D4-14;Human
D4-15;Google
D4-16;OpenAI
D4-17;OpenAI
D4-18;Human
D4-19;OpenAI
D4-20;OpenAI
D4-21;OpenAI
D4-22;OpenAI
D4-23;Meta
D4-24;OpenAI
D4-25;Meta
D4-26;Human
D4-27;OpenAI
D4-28;OpenAI
D4-29;OpenAI
D4-30;OpenAI
D4-31;OpenAI
D4-32;Human
D4-33;OpenAI
D4-34;Meta
D4-35;Meta
D4-36;Human
D4-37;OpenAI
D4-38;Human
D4-39;Human
D4-40;Human
D4-41;Human
D4-42;Human
D4-43;OpenAI
D4-44;Human
D4-45;Human
D4-46;Human
D4-47;Human
D4-48;Anthropic
D4-49;Human
D4-50;OpenAI
D4-51;OpenAI
D4-52;OpenAI
D4-53;Human
D4-54;Human
D4-55;Human
D4-56;Human
D4-57;Human
D4-58;Human
D4-59;Google
D4-60;Human
D4-61;Human
D4-62;OpenAI
D4-63;Human
D4-64;Human
D4-65;OpenAI
D4-66;OpenAI
D4-67;OpenAI
D4-68;Human
D4-69;Human
D4-70;OpenAI
D4-71;Human
D4-72;OpenAI
D4-73;OpenAI
D4-74;Human
D4-75;OpenAI
D4-76;OpenAI
D4-77;OpenAI
D4-78;Human
D4-79;Human
D4-80;OpenAI
D4-81;OpenAI
D4-82;Google
D4-83;Human
D4-84;Human
D4-85;OpenAI
D4-86;OpenAI
D4-87;OpenAI
D4-88;Human
D4-89;Human
D4-90;Human
D4-91;Human
D4-92;Human
D4-93;Meta
D4-94;OpenAI
D4-95;OpenAI
D4-96;OpenAI
D4-97;Human
D4-98;OpenAI
D4-99;OpenAI
D4-100;OpenAI
